with classifier mlp
[I 2023-12-19 10:22:00,879] A new study created in memory with name: no-name-9ce8c69b-6805-4955-9485-46a0f5d21ce6
2023-12-19 10:22:05.153638: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 10:24:30,364] Trial 0 finished with value: 0.875 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 16, 'embed_dim': 256, 'depth': 1, 'classifier_hiddens': 128}. Best is trial 0 with value: 0.875.
[I 2023-12-19 10:28:29,727] Trial 1 finished with value: 0.9375 and parameters: {'learning_rate': 0.0006672367170464204, 'batch_size': 16, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 64}. Best is trial 1 with value: 0.9375.
[I 2023-12-19 10:32:09,394] Trial 2 finished with value: 0.59375 and parameters: {'learning_rate': 0.0015375920235481753, 'batch_size': 32, 'embed_dim': 256, 'depth': 3, 'classifier_hiddens': 256}. Best is trial 1 with value: 0.9375.
[I 2023-12-19 10:36:38,613] Trial 3 finished with value: 1.0 and parameters: {'learning_rate': 1.0521761868451132e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:37:20,133] Trial 4 finished with value: 0.953125 and parameters: {'learning_rate': 0.0012329098365270509, 'batch_size': 256, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:40:36,814] Trial 5 finished with value: 0.1875 and parameters: {'learning_rate': 0.016973078532467004, 'batch_size': 16, 'embed_dim': 64, 'depth': 3, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:41:19,397] Trial 6 finished with value: 0.935546875 and parameters: {'learning_rate': 0.00013783578294796384, 'batch_size': 512, 'embed_dim': 128, 'depth': 2, 'classifier_hiddens': 256}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:44:23,681] Trial 7 finished with value: 0.96875 and parameters: {'learning_rate': 1.4557961490251982e-05, 'batch_size': 32, 'embed_dim': 128, 'depth': 3, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:46:00,915] Trial 8 finished with value: 0.140625 and parameters: {'learning_rate': 0.039964301676942524, 'batch_size': 256, 'embed_dim': 256, 'depth': 4, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:47:02,429] Trial 9 finished with value: 1.0 and parameters: {'learning_rate': 0.0002002621122934531, 'batch_size': 64, 'embed_dim': 128, 'depth': 1, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:47:50,468] Trial 10 finished with value: 0.8984375 and parameters: {'learning_rate': 1.2084798802945597e-05, 'batch_size': 128, 'embed_dim': 32, 'depth': 5, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:50:28,844] Trial 11 finished with value: 0.953125 and parameters: {'learning_rate': 6.325480331610269e-05, 'batch_size': 64, 'embed_dim': 32, 'depth': 6, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:50:51,563] Trial 12 finished with value: 0.8715953230857849 and parameters: {'learning_rate': 4.7988763373152934e-05, 'batch_size': 1028, 'embed_dim': 64, 'depth': 1, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:51:33,989] Trial 13 finished with value: 0.96875 and parameters: {'learning_rate': 0.006428593022759574, 'batch_size': 64, 'embed_dim': 32, 'depth': 1, 'classifier_hiddens': 32}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:55:35,852] Trial 14 finished with value: 0.96875 and parameters: {'learning_rate': 4.562303724208331e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 5, 'classifier_hiddens': 1028}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:55:57,378] Trial 15 finished with value: 0.8949416279792786 and parameters: {'learning_rate': 0.0001495459889467277, 'batch_size': 1028, 'embed_dim': 32, 'depth': 2, 'classifier_hiddens': 128}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:57:56,021] Trial 16 finished with value: 0.8984375 and parameters: {'learning_rate': 1.0602301955493347e-05, 'batch_size': 128, 'embed_dim': 128, 'depth': 6, 'classifier_hiddens': 64}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:58:38,696] Trial 17 finished with value: 0.931640625 and parameters: {'learning_rate': 0.00379048463968564, 'batch_size': 512, 'embed_dim': 64, 'depth': 4, 'classifier_hiddens': 512}. Best is trial 3 with value: 1.0.
