without classifier mlp
[I 2023-12-19 10:22:35,012] A new study created in memory with name: no-name-0f124f3c-92fc-4e24-a8e4-9344773713ae
2023-12-19 10:22:39.355381: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 10:25:03,443] Trial 0 finished with value: 0.875 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 16, 'embed_dim': 256, 'depth': 1}. Best is trial 0 with value: 0.875.
[I 2023-12-19 10:26:18,248] Trial 1 finished with value: 0.9464980363845825 and parameters: {'learning_rate': 0.0005342937261279777, 'batch_size': 1028, 'embed_dim': 128, 'depth': 5}. Best is trial 1 with value: 0.9464980363845825.
[I 2023-12-19 10:26:49,051] Trial 2 finished with value: 0.9192606806755066 and parameters: {'learning_rate': 0.00016536937182824412, 'batch_size': 1028, 'embed_dim': 64, 'depth': 3}. Best is trial 1 with value: 0.9464980363845825.
[I 2023-12-19 10:30:27,600] Trial 3 finished with value: 1.0 and parameters: {'learning_rate': 0.002463768595899745, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:34:44,020] Trial 4 finished with value: 1.0 and parameters: {'learning_rate': 1.0521761868451132e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:36:11,227] Trial 5 finished with value: 0.9296875 and parameters: {'learning_rate': 3.0086868214458443e-05, 'batch_size': 128, 'embed_dim': 256, 'depth': 3}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:37:02,473] Trial 6 finished with value: 0.9375 and parameters: {'learning_rate': 8.226074946221034e-05, 'batch_size': 128, 'embed_dim': 128, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:39:21,680] Trial 7 finished with value: 0.6875 and parameters: {'learning_rate': 0.018709365688887352, 'batch_size': 16, 'embed_dim': 32, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:39:57,753] Trial 8 finished with value: 0.921875 and parameters: {'learning_rate': 0.00013783578294796384, 'batch_size': 512, 'embed_dim': 128, 'depth': 2}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:42:13,961] Trial 9 finished with value: 0.96875 and parameters: {'learning_rate': 0.0034207303670092245, 'batch_size': 64, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:42:53,843] Trial 10 finished with value: 0.41796875 and parameters: {'learning_rate': 0.06514252098154874, 'batch_size': 256, 'embed_dim': 64, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:46:27,341] Trial 11 finished with value: 1.0 and parameters: {'learning_rate': 0.003278508898472986, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:49:57,031] Trial 12 finished with value: 0.96875 and parameters: {'learning_rate': 0.002044918866524788, 'batch_size': 32, 'embed_dim': 32, 'depth': 6}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:53:30,364] Trial 13 finished with value: 1.0 and parameters: {'learning_rate': 1.9465916514819266e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 4}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:57:43,520] Trial 14 finished with value: 0.8125 and parameters: {'learning_rate': 0.01349126348114051, 'batch_size': 16, 'embed_dim': 32, 'depth': 5}. Best is trial 3 with value: 1.0.
[I 2023-12-19 10:57:58,835] Trial 15 finished with value: 0.92578125 and parameters: {'learning_rate': 0.0011509263337271078, 'batch_size': 256, 'embed_dim': 32, 'depth': 1}. Best is trial 3 with value: 1.0.
