[I 2023-12-19 20:39:37,714] A new study created in memory with name: no-name-e374f74d-06ae-4cdd-9ac2-b7a206e8c3f2
2023-12-19 20:39:42.134588: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 20:42:38,581] Trial 0 finished with value: 0.9333333333333332 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 8, 'embed_dim': 32, 'depth': 6}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:43:33,201] Trial 1 finished with value: 0.85 and parameters: {'learning_rate': 3.613894271216525e-05, 'batch_size': 64, 'embed_dim': 128, 'depth': 3}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:43:53,757] Trial 2 finished with value: 0.32814526359240215 and parameters: {'learning_rate': 1.3726318898045866e-05, 'batch_size': 1028, 'embed_dim': 16, 'depth': 6}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:44:07,402] Trial 3 finished with value: 0.8291666666666666 and parameters: {'learning_rate': 0.00026730883107816685, 'batch_size': 256, 'embed_dim': 16, 'depth': 3}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:45:04,584] Trial 4 finished with value: 0.834375 and parameters: {'learning_rate': 0.00017535949529764417, 'batch_size': 64, 'embed_dim': 16, 'depth': 6}. Best is trial 0 with value: 0.9333333333333332.
[I 2023-12-19 20:45:25,228] Trial 5 finished with value: 0.8548177083333333 and parameters: {'learning_rate': 9.935023909063687e-05, 'batch_size': 512, 'embed_dim': 128, 'depth': 2}. Best is trial 0 with value: 0.9333333333333332.
1: Train Metrics(loss=0.6476299166679382, accuracy=0.875), Test Metrics(loss=0.5396900773048401, accuracy=0.75)
2: Train Metrics(loss=0.07876148074865341, accuracy=1.0), Test Metrics(loss=0.047132305800914764, accuracy=1.0)
3: Train Metrics(loss=0.19771432876586914, accuracy=0.875), Test Metrics(loss=0.06674393266439438, accuracy=1.0)
4: Train Metrics(loss=0.0485440157353878, accuracy=1.0), Test Metrics(loss=0.6900624632835388, accuracy=0.75)
5: Train Metrics(loss=0.3070458173751831, accuracy=0.875), Test Metrics(loss=0.016597207635641098, accuracy=1.0)
6: Train Metrics(loss=0.07978855073451996, accuracy=1.0), Test Metrics(loss=0.018504150211811066, accuracy=1.0)
7: Train Metrics(loss=0.18173211812973022, accuracy=1.0), Test Metrics(loss=0.2700193524360657, accuracy=1.0)
8: Train Metrics(loss=0.5441854596138, accuracy=0.875), Test Metrics(loss=0.2830497622489929, accuracy=0.875)
9: Train Metrics(loss=0.17833058536052704, accuracy=0.875), Test Metrics(loss=0.057203445583581924, accuracy=1.0)
10: Train Metrics(loss=0.012417586520314217, accuracy=1.0), Test Metrics(loss=0.18444135785102844, accuracy=0.875)
1: Train Metrics(loss=0.5994674563407898, accuracy=0.765625), Test Metrics(loss=0.7269495725631714, accuracy=0.765625)
2: Train Metrics(loss=0.45619821548461914, accuracy=0.84375), Test Metrics(loss=0.4544110894203186, accuracy=0.84375)
3: Train Metrics(loss=0.3080942630767822, accuracy=0.90625), Test Metrics(loss=0.5988172292709351, accuracy=0.78125)
4: Train Metrics(loss=0.44824355840682983, accuracy=0.859375), Test Metrics(loss=0.5441452860832214, accuracy=0.828125)
5: Train Metrics(loss=0.35150986909866333, accuracy=0.859375), Test Metrics(loss=0.4005122184753418, accuracy=0.859375)
6: Train Metrics(loss=0.2182917594909668, accuracy=0.9375), Test Metrics(loss=0.25900426506996155, accuracy=0.9375)
7: Train Metrics(loss=0.29298293590545654, accuracy=0.921875), Test Metrics(loss=0.5351485013961792, accuracy=0.84375)
8: Train Metrics(loss=0.28679323196411133, accuracy=0.890625), Test Metrics(loss=0.37081629037857056, accuracy=0.828125)
9: Train Metrics(loss=0.32233908772468567, accuracy=0.890625), Test Metrics(loss=0.4068576991558075, accuracy=0.875)
10: Train Metrics(loss=0.09916502982378006, accuracy=0.96875), Test Metrics(loss=0.5226842164993286, accuracy=0.828125)
1: Train Metrics(loss=2.566692352294922, accuracy=0.10505836457014084), Test Metrics(loss=2.561293601989746, accuracy=0.10408560186624527)
2: Train Metrics(loss=2.4391374588012695, accuracy=0.12354085594415665), Test Metrics(loss=2.400686025619507, accuracy=0.14591439068317413)
3: Train Metrics(loss=2.320469617843628, accuracy=0.14883267879486084), Test Metrics(loss=2.343207359313965, accuracy=0.12645913660526276)
4: Train Metrics(loss=2.221440315246582, accuracy=0.17315174639225006), Test Metrics(loss=2.2205657958984375, accuracy=0.18287937343120575)
5: Train Metrics(loss=2.155172824859619, accuracy=0.2217898815870285), Test Metrics(loss=2.174807548522949, accuracy=0.2315175086259842)
6: Train Metrics(loss=2.0969650745391846, accuracy=0.2587548494338989), Test Metrics(loss=2.0761077404022217, accuracy=0.2597276270389557)
7: Train Metrics(loss=2.044390916824341, accuracy=0.28599220514297485), Test Metrics(loss=2.065347194671631, accuracy=0.25778210163116455)
8: Train Metrics(loss=2.0125339031219482, accuracy=0.287937730550766), Test Metrics(loss=1.9751533269882202, accuracy=0.31712061166763306)
9: Train Metrics(loss=1.9399335384368896, accuracy=0.30739298462867737), Test Metrics(loss=1.9415247440338135, accuracy=0.3404669165611267)
10: Train Metrics(loss=1.8698561191558838, accuracy=0.3599221706390381), Test Metrics(loss=1.9142849445343018, accuracy=0.36673152446746826)
1: Train Metrics(loss=1.1236051321029663, accuracy=0.6328125), Test Metrics(loss=1.2539324760437012, accuracy=0.640625)
2: Train Metrics(loss=0.6948922872543335, accuracy=0.7734375), Test Metrics(loss=0.8773248791694641, accuracy=0.76953125)
3: Train Metrics(loss=0.7079424858093262, accuracy=0.796875), Test Metrics(loss=0.686184287071228, accuracy=0.80078125)
4: Train Metrics(loss=0.5717185735702515, accuracy=0.83984375), Test Metrics(loss=0.554031252861023, accuracy=0.83203125)
5: Train Metrics(loss=0.67002934217453, accuracy=0.78515625), Test Metrics(loss=0.512001097202301, accuracy=0.828125)
