[I 2023-12-19 21:45:38,780] A new study created in memory with name: no-name-0658785a-41f3-4117-ab52-ce561d2ecf40
2023-12-19 21:45:45.675830: W external/xla/xla/service/gpu/nvptx_compiler.cc:698] The NVIDIA driver's CUDA version is 12.0 which is older than the ptxas CUDA version (12.3.103). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[I 2023-12-19 21:46:59,675] Trial 0 finished with value: 0.9749999999999999 and parameters: {'learning_rate': 0.00031489116479568613, 'batch_size': 8, 'embed_dim': 32, 'depth': 1}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:47:21,901] Trial 1 finished with value: 0.7697916666666667 and parameters: {'learning_rate': 0.00016480446427978953, 'batch_size': 64, 'embed_dim': 8, 'depth': 2}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:47:58,645] Trial 2 finished with value: 0.8875 and parameters: {'learning_rate': 1.8205657658407255e-05, 'batch_size': 16, 'embed_dim': 32, 'depth': 1}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:48:56,286] Trial 3 finished with value: 0.8666666666666666 and parameters: {'learning_rate': 0.0015375920235481753, 'batch_size': 16, 'embed_dim': 64, 'depth': 2}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:49:09,523] Trial 4 finished with value: 0.7005208333333333 and parameters: {'learning_rate': 0.000132965214572995, 'batch_size': 128, 'embed_dim': 8, 'depth': 2}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:49:23,549] Trial 5 finished with value: 0.45680934190750117 and parameters: {'learning_rate': 0.028340904295147733, 'batch_size': 1028, 'embed_dim': 64, 'depth': 2}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:49:34,455] Trial 6 finished with value: 0.8779507080713909 and parameters: {'learning_rate': 0.0012329098365270509, 'batch_size': 1028, 'embed_dim': 32, 'depth': 2}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:49:47,447] Trial 7 finished with value: 0.6119791666666666 and parameters: {'learning_rate': 0.05233480488540085, 'batch_size': 256, 'embed_dim': 8, 'depth': 3}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:49:59,183] Trial 8 finished with value: 0.6260416666666666 and parameters: {'learning_rate': 1.0661259689433896e-05, 'batch_size': 256, 'embed_dim': 32, 'depth': 2}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:50:10,332] Trial 9 finished with value: 0.728125 and parameters: {'learning_rate': 0.00013783578294796384, 'batch_size': 256, 'embed_dim': 16, 'depth': 1}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:51:13,396] Trial 10 finished with value: 0.9 and parameters: {'learning_rate': 0.012851342655040449, 'batch_size': 8, 'embed_dim': 16, 'depth': 1}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:52:15,707] Trial 11 finished with value: 0.8833333333333334 and parameters: {'learning_rate': 0.007255685482622867, 'batch_size': 8, 'embed_dim': 16, 'depth': 1}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:53:20,332] Trial 12 finished with value: 0.8833333333333334 and parameters: {'learning_rate': 0.004982427479845045, 'batch_size': 8, 'embed_dim': 16, 'depth': 1}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:53:44,488] Trial 13 finished with value: 0.8250000000000001 and parameters: {'learning_rate': 0.006664745962595745, 'batch_size': 32, 'embed_dim': 16, 'depth': 1}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:55:26,003] Trial 14 finished with value: 0.8749999999999999 and parameters: {'learning_rate': 0.0004914751203046278, 'batch_size': 8, 'embed_dim': 32, 'depth': 3}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:55:34,126] Trial 15 finished with value: 0.8490885416666667 and parameters: {'learning_rate': 0.021312739383626534, 'batch_size': 512, 'embed_dim': 16, 'depth': 1}. Best is trial 0 with value: 0.9749999999999999.
[I 2023-12-19 21:56:38,294] Trial 16 finished with value: 0.9833333333333334 and parameters: {'learning_rate': 0.0005223238403025034, 'batch_size': 8, 'embed_dim': 32, 'depth': 1}. Best is trial 16 with value: 0.9833333333333334.
[I 2023-12-19 21:57:38,145] Trial 17 finished with value: 0.8749999999999999 and parameters: {'learning_rate': 4.839668264505077e-05, 'batch_size': 8, 'embed_dim': 32, 'depth': 1}. Best is trial 16 with value: 0.9833333333333334.
